Name,Address,Rent,Beds,Bath,Parking,Utilities,Type of Laundry,Latitude,Longitude
100 E. Cherry,100 E. Cherry,635,3,3,No,No,In-Unit,40.5124392,-88.9841251
100 E. Cherry St.,100 E. Cherry St.,630,4,4,Yes,Yes,In-unit,40.5124392,-88.9841251
100 E. Locust St.,100 E. Locust St.,449,4,2,Yes,Yes,In-unit,40.5134134,-88.9841812
100 E. Mulberry,100 E. Mulberry,510,4,1,Yes,No,In-Unit,40.5115448,-88.98410650000001
1007 N. Park St.,1007 N. Park St.,399,3,1,Yes,Yes,In-unit,40.4875844,-88.9896598
101 E. Locust,101 E. Locust,469,4,2,Yes,Yes,In-Unit,40.5129161,-88.9841251
101 E. Willow,101 E. Willow,670,4,4.5,No,Yes,In-unit,40.5138927,-88.9842785
101 E. Willow,101 E. Willow,699,3,3.5,No,No,In-Unit,40.5138927,-88.9842785
101 W. Stewart,101 W. Stewart,785,2,2.5,Yes,Yes,In Unit,40.5055289,-88.9847231
101/103 W. Willow,101/103 W. Willow,475,2,1,Yes,Yes,Coin,40.5140121,-88.984763
101/103 W. Willow,101/103 W. Willow,819,1,1,Yes,No,Coin,40.5140121,-88.984763
102 E Cypress,102 E Cypress,999,1,1,Yes,No,Coin,40.5151422,-88.9841999
102 E. Cypress,102 E. Cypress,475,2,1,Yes,Yes,Coin,40.5151422,-88.9841999
102 S. Oak,102 S. Oak,869,1,1,Yes,No,Neighboring Property,40.5101066,-88.9809858
102 W Phoenix,102 W Phoenix,535,3,2,Yes,Yes,In-unit,40.5078362,-88.9849473
102 W. Cherry,102 W. Cherry,659,4,4.5,No,Yes,In-unit,40.5124919,-88.98490140000001
102 W. Cherry,102 W. Cherry,665,3,3.5,No,No,In-Unit,40.5124919,-88.98490140000001
102 W. Phoenix,102 W. Phoenix,449,4,2,Yes,Yes,Coin,40.5078362,-88.9849473
102 W. Phoenix #12,102 W. Phoenix #12,659,5,3,No,Yes,In-unit,40.5078362,-88.9849473
102 W. Phoenix #16,102 W. Phoenix #16,659,6,3,No,Yes,In-unit,40.5078362,-88.9849473
104 E. Mulberry,104 E. Mulberry,405,7,3,No,No,In-Unit,40.5115409,-88.98365799999999
104 W. Irving,104 W. Irving,440,4,2,Yes,Yes,In Unit,40.506881,-88.9847978
104 W. Locust,104 W. Locust,455,4,2,Yes,Yes,In Unit,40.5133246,-88.98539579999999
104 W. Willow,104 W. Willow,455,3,1,Yes,Yes,In-Unit,40.5141812,-88.9856387
105 E. Cherry,105 E. Cherry,535,4,1,No,No,In-unit,40.5120208,-88.98399429999999
105 W. Willow,105 W. Willow,455,4,2,Yes,Yes,In-unit,40.5138035,-88.98562
106 W. Willow,106 W. Willow,415,4,1,Yes,Yes,In-unit,40.5142048,-88.9860685
106 W. Willow,106 W. Willow,465,4,2,Yes,Yes,In-unit,40.5142048,-88.9860685
106 W. Willow,106 W. Willow,585,2,2,Yes,Yes,In-unit,40.5142048,-88.9860685
107 E. Locust,107 E. Locust,425,2,1,Yes,Yes,Coin,40.5129102,-88.98345239999999
108 W. Phoenix,108 W. Phoenix,499,3,1,Yes,Yes,In-Unit,40.5077399,-88.9853024
109 W. Willow,109 W. Willow,449,2,1,Yes,Yes,Coin,40.5137493,-88.9862366
109 W. Willow,109 W. Willow,449,4,2,Yes,Yes,In-Unit,40.5137493,-88.9862366
109 W. Willow St.,109 W. Willow St.,435,3,1,Yes,Yes,Coin,40.5137493,-88.9862366
110 W. Locust,110 W. Locust,449,4,2,Yes,Yes,In-unit,40.5133111,-88.9861245
111 E. Cherry St,111 E. Cherry St,615,4,2.5,Yes,Yes,In-unit,40.5120145,-88.98328430000001
111 E. Willow,111 E. Willow,465,4,2,Yes,Yes,In-unit,40.5138836,-88.9830214
111 W Locust,111 W Locust,720,4,4.5,Yes,No,In Unit,40.5128543,-88.9861432
111 W Locust,111 W Locust,790,3,3.5,No,No,In-Unit,40.5128543,-88.9861432
111 W. Cherry,111 W. Cherry,549,4,2,Yes,Yes,In-unit,40.5119799,-88.9861432
111 W. Cherry,111 W. Cherry,570,3,2,Yes,Yes,In-unit,40.5119799,-88.9861432
111 W. Locust,111 W. Locust,720,4,4,Yes,Yes,In Unit,40.5128543,-88.9861432
111 W. Locust,111 W. Locust,790,3,3,Yes,Yes,In Unit,40.5128543,-88.9861432
111 W. Locust,111 W. Locust,875,2,2,Yes,Yes,In-unit,40.5128543,-88.9861432
112 W North,112 W North,1199,1,1,Yes,No,In-unit,40.50972549999999,-88.98511549999999
112 W. Locust,112 W. Locust,465,2,1,Yes,Yes,Coin,40.5133331,-88.98636739999999
112 W. Locust,112 W. Locust,805,1,1,Yes,No,Coin,40.5133331,-88.98636739999999
112 W. Mulberry,112 W. Mulberry,549,4,2,Yes,Yes,In-unit,40.511503,-88.9861432
112 W. North,112 W. North,799,2,2,No,Yes,In-unit,40.50972549999999,-88.98511549999999
113 E. Division Street,113 E. Division Street,425,3,1.5,Yes,No,On premise,40.49508489999999,-88.9927386
114 W. Locust,114 W. Locust,449,2,1,Yes,Yes,Coin,40.5132753,-88.98657299999999
115 W. Locust,115 W. Locust,569,2,1,Yes,Yes,In-unit,40.5128575,-88.9865169
116 W. Locust,116 W. Locust,465,2,1,Yes,Yes,Coin,40.5133173,-88.9868346
117 W. Willow,117 W. Willow,349,4,1,Yes,Yes,Coin,40.5137371,-88.98711480000001
117 W. Willow,117 W. Willow,425,2,1,Yes,Yes,Coin,40.5137371,-88.98711480000001
118 W. Locust,118 W. Locust,355,4,1,Yes,Yes,Neighboring Property,40.51333899999999,-88.9870401
13 Delaine,13 Delaine,505,7,2,No,No,In-unit,40.5087812,-88.9999493
200 & 214 W. Willow,200 & 214 W. Willow,735,4,4.5,No,Yes,In-unit,40.5141653,-88.9876506
200 & 214 W. Willow,200 & 214 W. Willow,745,3,3.5,No,No,In-Unit,40.5141653,-88.9876506
200 W. Mulberry,200 W. Mulberry,510,4,2,Yes,Yes,In-unit,40.5114353,-88.9874885
200 W. Mulberry,200 W. Mulberry,555,3,2,Yes,Yes,In-unit,40.5114353,-88.9874885
